timestamp,ax,ay,az,label
11671,-0.87,-1.96,10.22,Correct
11694,-1.05,-2.04,10.04,Correct
11717,-1.57,-1.67,9.24,Correct
11740,-1.33,-1.55,9.99,Correct
11763,-1.47,-1.16,9.89,Correct
11786,-1.42,-0.99,10.03,Correct
11809,-1.11,-0.66,10.57,Correct
11832,-1.22,-0.34,10.64,Correct
11855,-0.4,-0.38,11.52,Correct
11878,0.18,-0.65,11.52,Correct
11901,-1.67,-0.68,10.0,Correct
11924,-1.23,-2.07,10.8,Correct
11947,-0.33,-1.77,11.1,Correct
11970,-0.52,-1.77,12.75,Correct
11993,1.78,-2.61,17.92,Correct
12016,6.44,-1.81,18.37,Correct
12039,12.03,-0.76,9.8,Correct
12062,-4.6,2.76,-14.77,Correct
12085,-19.61,-5.22,-6.09,Correct
12108,2.96,2.43,4.1,Correct
12131,-19.04,-7.65,-1.74,Correct
12154,-4.78,-1.59,0.33,Correct
12177,-18.91,-4.17,1.33,Correct
12200,-6.63,-0.68,1.71,Correct
12223,-9.72,-7.39,1.69,Correct
12246,-8.18,-4.33,0.54,Correct
12269,-10.68,-4.1,3.23,Correct
12292,-10.15,-3.36,0.7,Correct
12315,-7.34,-1.51,3.88,Correct
12338,-9.02,-1.29,2.31,Correct
12361,-10.16,-1.08,1.26,Correct
12384,-8.44,-0.62,2.19,Correct
12407,-9.34,-1.27,0.8,Correct
12430,-8.83,-2.27,1.49,Correct
12453,-10.06,-2.26,0.73,Correct
12476,-9.65,-1.85,0.91,Correct
12499,-10.4,-1.36,-0.25,Correct
12522,-10.43,-1.64,0.03,Correct
12545,-8.61,-1.86,2.01,Correct
12568,-9.62,-2.54,1.45,Correct
12591,-10.51,-2.64,-0.42,Correct
12614,-8.41,-2.45,1.38,Correct
12637,-9.31,-2.53,0.76,Correct
12660,-9.96,-2.31,0.55,Correct
12683,-9.35,-2.34,0.97,Correct
12706,-8.95,-2.51,1.03,Correct
12729,-9.99,-2.69,0.15,Correct
12752,-9.49,-2.69,0.35,Correct
12775,-10.2,-2.73,-1.79,Correct
12798,-15.9,-2.82,-10.69,Correct
12821,-11.67,-0.79,-3.06,Correct
12844,-6.86,-2.44,3.13,Correct
12867,-9.43,-6.98,3.22,Correct
12890,-8.43,-2.74,-0.44,Correct
12913,-17.11,-3.68,-6.33,Correct
12936,-8.64,-0.44,-0.25,Correct
12959,-0.84,-1.98,2.31,Correct
12982,-1.74,-4.44,0.99,Correct
13005,4.48,-6.23,-0.66,Correct
13028,9.3,-4.67,10.01,Correct
13051,10.8,-0.62,19.61,Correct
13074,-0.69,2.77,9.91,Correct
13097,1.28,-2.97,13.21,Correct
13120,0.41,-3.21,10.86,Correct
13143,-0.33,-2.88,10.59,Correct
13166,-0.66,-0.29,11.94,Correct
13189,0.34,-1.91,11.12,Correct
13212,-0.46,-2.71,10.07,Correct
13235,-0.91,-2.51,9.62,Correct
13258,-0.79,-2.12,9.8,Correct
13281,-1.1,-2.67,9.83,Correct
13304,-1.11,-2.39,9.93,Correct
13327,-1.07,-1.95,9.63,Correct
13350,-1.41,-2.68,9.48,Correct
13373,-1.5,-2.52,9.39,Correct
13396,-1.43,-2.37,9.79,Correct
13419,-1.68,-1.99,9.63,Correct
13442,-1.39,-2.01,9.7,Correct
13465,-1.23,-1.66,9.75,Correct
13488,-1.16,-1.57,9.91,Correct
13511,-1.23,-1.32,10.17,Correct
13534,-1.19,-1.02,10.09,Correct
13557,-1.05,-0.78,10.08,Correct
13580,-0.9,-0.47,10.44,Correct
13603,-0.5,-0.2,11.21,Correct
13626,-1.04,-1.04,10.86,Correct
13649,0.26,-1.86,11.6,Correct
13672,-1.51,-1.79,9.84,Correct
13695,-1.03,-1.29,10.89,Correct
13718,-0.05,-2.16,11.46,Correct
13741,-0.95,-1.77,10.44,Correct
13764,-0.67,-2.76,11.58,Correct
13787,-0.32,-3.12,11.03,Correct
13810,-1.66,-2.13,11.28,Correct
13833,2.41,-2.13,17.22,Correct
13856,6.63,-0.0,12.22,Correct
13879,1.8,-1.89,-4.63,Correct
13902,-12.73,-3.52,-4.42,Correct
13925,-6.4,-2.06,1.06,Correct
13948,-11.7,-4.98,-2.0,Correct
13971,-14.54,-2.71,-1.04,Correct
13994,-9.83,-0.84,1.62,Correct
14017,-12.22,-3.31,-0.16,Correct
14040,-7.87,-1.93,2.56,Correct
14063,-8.83,-1.97,2.51,Correct
14086,-10.66,-0.63,1.76,Correct
14109,-9.76,-1.15,2.27,Correct
14132,-9.92,-2.17,0.65,Correct
14155,-8.99,-1.42,1.96,Correct
14178,-8.48,-2.71,2.65,Correct
14201,-8.81,-4.0,1.7,Correct
14224,-10.63,-4.02,0.0,Correct
14247,-8.3,-3.63,0.69,Correct
14270,-8.26,-4.21,1.4,Correct
14293,-9.23,-3.77,0.86,Correct
14316,-10.5,-2.39,-0.3,Correct
14339,-8.64,-2.06,1.82,Correct
14362,-9.16,-1.74,1.12,Correct
14385,-10.11,-2.37,0.3,Correct
14408,-9.88,-2.62,0.22,Correct
14431,-8.5,-3.0,1.0,Correct
14454,-9.26,-3.42,1.12,Correct
14477,-9.64,-3.64,0.88,Correct
14500,-9.1,-3.3,1.19,Correct
14523,-8.36,-2.63,2.0,Correct
14546,-9.61,-2.84,0.78,Correct
14569,-9.83,-2.31,0.41,Correct
14592,-10.3,-1.91,-0.7,Correct
14615,-9.33,-2.85,-0.37,Correct
14638,-13.0,-3.77,-5.05,Correct
14661,-10.66,-3.4,-2.44,Correct
14684,-9.06,-2.56,0.45,Correct
14707,-10.01,-6.95,4.4,Correct
14730,-11.17,-0.87,-1.48,Correct
14753,-14.15,0.43,-2.94,Correct
14776,-7.72,0.6,1.71,Correct
14799,-4.87,-0.14,0.29,Correct
14822,2.79,-3.34,2.28,Correct
14845,3.05,-9.01,-1.59,Correct
14868,11.42,-4.51,14.94,Correct
14891,4.32,-1.13,19.61,Correct
14914,-1.31,0.09,11.28,Correct
14937,0.46,-3.89,12.17,Correct
14960,-0.72,-3.87,9.89,Correct
14983,0.27,-3.51,11.2,Correct
15006,-0.85,-1.45,9.97,Correct
15029,-0.27,-0.39,10.81,Correct
15052,-0.41,-1.92,10.24,Correct
15075,-0.72,-2.73,9.93,Correct
15098,-0.42,-2.43,10.14,Correct
15121,-0.35,-2.17,10.18,Correct
15144,-0.34,-2.11,10.13,Correct
15167,-0.42,-0.9,10.19,Correct
15190,-0.46,-0.58,10.32,Correct
15213,-0.24,-1.17,10.37,Correct
15236,-0.48,-1.96,9.98,Correct
15259,-0.43,-1.6,10.1,Correct
15282,-0.64,-1.68,9.89,Correct
15305,-0.54,-2.37,10.02,Correct
15328,-0.54,-2.54,9.91,Correct
15351,-0.31,-2.24,10.2,Correct
15374,-0.25,-1.68,10.32,Correct
15397,-0.31,-1.42,10.5,Correct
15420,-0.36,-1.42,10.4,Correct
15443,-0.55,-2.06,9.89,Correct
15466,0.08,-2.68,10.63,Correct
15489,-0.49,-2.29,10.24,Correct
15512,-0.51,-1.64,10.38,Correct
15535,0.51,-1.38,12.03,Correct
15558,0.17,-2.03,10.96,Correct
15581,-0.68,-2.45,10.21,Correct
15604,-1.93,-2.86,9.34,Correct
15627,-1.48,-2.91,9.6,Correct
15650,0.12,-2.85,11.44,Correct
15673,-1.92,-3.02,9.33,Correct
15696,-1.91,-2.12,9.64,Correct
15719,-0.78,-2.43,10.91,Correct
15742,-3.05,-2.11,8.79,Correct
15765,-1.74,-2.25,9.82,Correct
15788,1.36,-4.0,12.64,Correct
15811,-0.32,-0.64,3.96,Correct
15834,-7.67,0.46,1.0,Correct
15857,-6.77,-1.75,1.5,Correct
15880,-8.13,-0.92,2.07,Correct
15903,-9.46,0.01,0.97,Correct
15926,-18.84,-2.68,-8.0,Correct
15949,-9.58,2.97,1.13,Correct
15972,-10.99,-2.62,2.79,Correct
15995,-9.96,-2.67,-0.49,Correct
16018,-8.98,-4.5,-1.27,Correct
16041,-9.5,-5.29,-0.55,Correct
16064,-9.43,-4.43,-0.27,Correct
16087,-9.79,-4.95,0.08,Correct
16110,-8.91,-4.67,1.03,Correct
16133,-10.72,-3.97,-0.52,Correct
16156,-8.41,-3.6,2.02,Correct
16179,-8.78,-3.53,1.21,Correct
16202,-9.76,-2.71,0.27,Correct
16225,-9.16,-2.09,0.86,Correct
16248,-9.41,-1.84,1.51,Correct
16271,-10.34,-1.18,0.45,Correct
16294,-9.67,-1.61,0.49,Correct
16317,-9.17,-1.77,1.09,Correct
16340,-9.1,-2.21,1.21,Correct
16363,-9.55,-2.33,1.46,Correct
16386,-8.66,-2.77,1.85,Correct
16409,-8.84,-2.97,2.08,Correct
16432,-9.93,-2.38,0.68,Correct
16455,-8.44,-2.21,2.03,Correct
16478,-10.61,-1.35,0.12,Correct
16501,-11.54,-0.32,-0.73,Correct
16524,-11.74,0.4,-2.86,Correct
16547,-14.83,0.47,-5.47,Correct
16570,-11.94,-0.15,-0.45,Correct
16593,-10.74,-0.23,-2.19,Correct
16616,-10.24,-2.96,-1.7,Correct
16639,-6.21,-1.38,1.98,Correct
16662,-8.17,-1.99,0.9,Correct
16685,-3.15,-2.61,4.09,Correct
16708,-2.64,-4.42,1.57,Correct
16731,-1.4,-5.83,1.76,Correct
16754,1.82,-3.47,5.32,Correct
16777,7.55,-3.7,16.91,Correct
16800,1.69,-1.81,11.36,Correct
16823,2.72,-3.6,12.85,Correct
16846,2.17,-2.66,11.21,Correct
16869,2.27,-2.14,10.01,Correct
16892,5.13,-4.07,14.38,Correct
16915,3.72,-3.35,11.15,Correct
16938,4.42,-1.7,12.67,Correct
16961,4.06,-1.76,12.42,Correct
16984,2.72,-0.97,11.62,Correct
17007,2.06,0.13,11.47,Correct
17030,1.01,1.07,10.84,Correct
17053,0.28,1.02,10.25,Correct
17076,0.23,-0.01,10.19,Correct
17099,-0.69,-1.53,9.2,Correct
17122,-0.7,-1.89,9.51,Correct
17145,-0.5,-2.29,9.65,Correct
17168,-0.4,-2.2,9.78,Correct
17191,-0.21,-2.52,9.85,Correct
17214,0.24,-3.84,9.83,Correct
17237,1.04,-4.53,10.6,Correct
17260,-0.23,-3.39,9.69,Correct
17283,0.46,-1.94,11.6,Correct
17306,0.14,-2.6,10.48,Correct
17329,0.94,-4.01,10.99,Correct
17352,-1.01,-2.65,9.8,Correct
17375,-0.63,-1.31,10.88,Correct
17398,-0.54,-2.09,10.34,Correct
17421,-0.81,-2.0,10.16,Correct
17444,-0.2,-1.72,11.03,Correct
17467,0.45,-2.13,12.17,Correct
17490,1.84,-3.04,14.6,Correct
17513,11.09,1.17,17.26,Correct
17536,3.41,10.33,-5.88,Correct
17559,-16.7,0.77,-5.83,Correct
17582,-4.51,-4.77,0.71,Correct
17605,-12.34,-5.23,-2.8,Correct
17628,-18.09,-1.36,-0.65,Correct
17651,-7.72,-3.39,1.28,Correct
17674,-11.68,1.78,-1.05,Correct
17697,-10.66,-4.22,-1.92,Correct
17720,-8.35,-6.61,-1.44,Correct
17743,-8.58,-6.97,-1.02,Correct
17766,-8.7,-5.84,2.09,Correct
17789,-10.26,-4.21,0.09,Correct
17812,-8.96,-4.69,1.71,Correct
17835,-9.37,-4.99,1.05,Correct
17858,-7.76,-3.58,2.64,Correct
17881,-9.67,-3.46,1.15,Correct
17904,-9.92,-4.0,0.84,Correct
17927,-9.37,-3.1,0.3,Correct
17950,-6.84,-3.48,2.37,Correct
17973,-9.25,-4.26,-0.32,Correct
17996,-9.68,-3.97,-0.01,Correct
18019,-9.62,-2.95,0.08,Correct
18042,-10.05,-3.2,-0.86,Correct
18065,-12.67,-3.67,-4.13,Correct
18088,-9.87,-2.98,-0.89,Correct
18111,-7.95,-3.28,2.22,Correct
18134,-5.81,-4.48,4.42,Correct
18157,-12.25,-1.56,-0.81,Correct
18180,-14.6,-0.64,-4.34,Correct
18203,-8.39,1.57,3.0,Correct
18226,-14.2,1.22,-2.83,Correct
18249,-4.89,-1.21,2.04,Correct
18272,-9.27,-2.64,-2.78,Correct
18295,0.52,-3.4,0.03,Correct
18318,9.84,-6.38,3.96,Correct
18341,4.66,-6.32,10.68,Correct
18364,4.94,-5.39,16.54,Correct
18387,1.86,-4.46,12.43,Correct
18410,0.18,-5.54,8.64,Correct
18433,-0.05,-6.56,7.85,Correct
18456,2.3,-3.61,10.72,Correct
18479,2.59,-1.35,10.41,Correct
18502,3.03,-3.23,11.08,Correct
18525,2.63,-1.24,11.38,Correct
18548,3.01,1.38,11.81,Correct
18571,2.92,1.97,12.08,Correct
18594,2.62,1.49,11.7,Correct
18617,2.46,1.27,11.46,Correct
18640,2.23,1.24,11.28,Correct
18663,1.58,0.13,10.83,Correct
18686,1.16,-0.32,10.5,Correct
18709,0.77,-0.63,10.2,Correct
18732,0.78,-0.63,10.27,Correct
18755,0.99,-1.08,10.48,Correct
18778,1.58,-1.43,11.03,Correct
18801,1.45,-2.21,11.29,Correct
18824,2.0,-2.96,10.85,Correct
18847,0.12,-1.78,10.16,Correct
18870,1.42,-1.07,11.5,Correct
18893,0.4,-1.93,10.23,Correct
18916,0.94,-2.71,10.93,Correct
18939,0.26,-1.88,10.73,Correct
18962,-1.03,-1.65,9.9,Correct
18985,0.89,-2.36,11.04,Correct
19008,-1.13,-2.6,9.87,Correct
19031,-0.21,-2.07,10.19,Correct
19054,-0.72,-1.21,10.35,Correct
19077,-1.88,-0.05,8.85,Correct
19100,-1.95,1.34,8.41,Correct
19123,-2.65,0.59,7.52,Correct
19146,-5.18,0.25,4.39,Correct
19169,-4.39,0.46,5.45,Correct
19192,-7.47,0.8,3.29,Correct
19215,-6.25,1.29,4.05,Correct
19238,-9.08,0.51,0.38,Correct
19261,-9.9,-2.7,4.16,Correct
19284,-19.01,-3.72,-9.89,Correct
19307,-5.7,-5.74,0.44,Correct
19330,-10.86,-5.86,-0.61,Correct
19353,-8.63,-5.55,-0.53,Correct
19376,-10.48,-5.19,0.44,Correct
19399,-8.28,-3.63,1.54,Correct
19422,-10.22,-2.66,1.33,Correct
19445,-10.33,-0.4,1.59,Correct
19468,-8.94,0.25,2.68,Correct
19491,-9.63,0.14,2.07,Correct
19514,-7.89,-0.41,5.63,Correct
19537,-10.65,0.26,1.33,Correct
19560,-8.19,-0.51,3.14,Correct
19583,-9.02,-1.37,2.17,Correct
19606,-10.1,-2.32,0.93,Correct
19629,-8.24,-2.74,1.9,Correct
19652,-10.4,-3.03,-0.42,Correct
19675,-8.66,-3.35,0.61,Correct
19698,-10.77,-3.43,-0.48,Correct
19721,-9.58,-2.73,0.03,Correct
19744,-10.9,-2.59,-1.55,Correct
19767,-9.32,-2.1,0.26,Correct
19790,-12.62,-1.82,-4.75,Correct
19813,-17.67,-0.62,-10.2,Correct
19836,-11.65,-2.41,-8.06,Correct
19859,-7.88,-4.17,0.56,Correct
19882,-9.42,1.67,-2.09,Correct
19905,-5.57,-0.56,2.04,Correct
19928,-0.03,-1.44,4.37,Correct
