timestamp,ax,ay,az,label
11546,-8.66,-1.89,4.64,Err2
11569,-7.76,-2.19,3.94,Err2
11592,-8.19,-2.76,3.44,Err2
11615,-10.72,-2.78,0.34,Err2
11638,-10.36,-3.77,0.91,Err2
11661,-9.51,-2.94,1.91,Err2
11684,-9.17,-3.29,1.81,Err2
11707,-9.91,-3.08,0.91,Err2
11730,-9.79,-3.23,0.91,Err2
11753,-9.2,-2.16,2.23,Err2
11776,-9.05,-1.81,2.73,Err2
11799,-9.34,-1.98,2.38,Err2
11822,-9.96,-1.94,1.23,Err2
11845,-10.72,-2.61,-0.17,Err2
11868,-10.31,-2.88,0.37,Err2
11891,-7.73,-2.44,4.52,Err2
11914,-8.42,-1.68,4.53,Err2
11937,-8.8,-1.01,3.96,Err2
11960,-9.39,-0.94,3.21,Err2
11983,-8.19,-0.45,4.83,Err2
12006,-7.36,-0.96,5.67,Err2
12029,-7.65,-1.61,5.64,Err2
12052,-7.82,-1.91,5.03,Err2
12075,-7.51,-1.73,5.53,Err2
12098,-7.86,-1.72,5.33,Err2
12121,-7.65,-1.68,5.65,Err2
12144,-7.73,-1.76,5.56,Err2
12167,-7.97,-1.93,5.31,Err2
12190,-7.52,-1.85,6.09,Err2
12213,-7.07,-1.63,6.31,Err2
12236,-7.23,-1.72,6.41,Err2
12259,-6.89,-1.27,6.8,Err2
12282,-6.37,-0.77,7.26,Err2
12305,-6.46,-0.94,7.22,Err2
12328,-6.34,-1.02,7.36,Err2
12351,-6.17,-1.1,7.72,Err2
12374,-5.88,-0.96,8.17,Err2
12397,-6.36,-0.69,7.4,Err2
12420,-7.02,-0.59,6.86,Err2
12443,-7.1,-0.6,6.79,Err2
12466,-6.9,-0.75,6.87,Err2
12489,-6.96,-1.32,6.8,Err2
12512,-6.64,-1.81,7.08,Err2
12535,-6.17,-1.95,7.51,Err2
12558,-6.35,-1.62,7.31,Err2
12581,-5.37,-1.22,8.19,Err2
12604,-5.03,-0.39,8.29,Err2
12627,-8.31,-0.64,4.91,Err2
12650,-7.93,-0.45,5.67,Err2
12673,-6.92,0.24,6.18,Err2
12696,-8.48,0.55,4.87,Err2
12719,-8.15,1.13,5.14,Err2
12742,-9.0,1.24,4.13,Err2
12765,-8.71,0.68,4.31,Err2
12788,-10.07,-0.06,3.37,Err2
12811,-9.97,-0.61,1.97,Err2
12834,-8.71,-1.18,3.35,Err2
12857,-9.55,-1.83,2.41,Err2
12880,-8.5,-2.06,3.5,Err2
12903,-9.37,-2.27,2.25,Err2
12926,-9.17,-3.59,2.63,Err2
12949,-9.77,-3.06,1.59,Err2
12972,-9.37,-2.49,2.14,Err2
12995,-10.5,-2.69,0.85,Err2
13018,-9.67,-1.64,1.64,Err2
13041,-10.54,-1.17,0.53,Err2
13064,-10.86,-2.29,0.62,Err2
13087,-8.03,-0.57,3.97,Err2
