timestamp,ax,ay,az,label
11871,-4.14,10.0,2.2,Err1
11894,-4.13,7.96,2.09,Err1
11917,-3.82,7.14,2.12,Err1
11940,-3.86,6.99,2.27,Err1
11963,-3.51,5.43,2.08,Err1
11986,-3.13,3.18,1.55,Err1
12009,-1.83,-0.29,2.73,Err1
12032,-2.21,-3.0,4.33,Err1
12055,-1.66,-3.66,1.44,Err1
12078,-2.11,-3.27,2.68,Err1
12101,-0.96,-4.17,1.81,Err1
12124,0.35,-5.58,2.33,Err1
12147,0.75,-8.9,0.94,Err1
12170,1.21,-11.71,0.19,Err1
12193,3.14,-17.16,-0.17,Err1
12216,1.92,-19.61,-0.41,Err1
12239,2.13,-19.61,-0.04,Err1
12262,1.38,-19.28,0.33,Err1
12285,0.77,-16.52,1.14,Err1
12308,-0.39,-12.77,1.61,Err1
12331,-1.33,-9.32,2.22,Err1
12354,-1.62,-7.21,3.04,Err1
12377,-2.01,-7.03,3.03,Err1
12400,-1.27,-8.81,3.35,Err1
12423,-0.4,-13.85,2.7,Err1
12446,2.81,-19.61,1.41,Err1
12469,3.06,-19.61,0.19,Err1
12492,3.76,-17.96,1.48,Err1
12515,2.19,-13.37,1.03,Err1
12538,2.03,-9.82,0.52,Err1
12561,0.74,-6.28,0.91,Err1
12584,-0.66,-4.53,1.49,Err1
12607,-0.72,-4.06,1.27,Err1
12630,-1.4,-1.98,1.33,Err1
12653,-2.35,-0.75,1.53,Err1
12676,-2.59,1.7,1.82,Err1
12699,-2.58,4.52,1.33,Err1
12722,-3.83,5.96,1.48,Err1
12745,-2.96,7.09,2.06,Err1
12768,-3.15,7.31,1.89,Err1
12791,-3.05,9.61,2.38,Err1
12814,-3.66,10.36,0.92,Err1
12837,-3.72,11.92,0.88,Err1
12860,-3.54,13.63,1.41,Err1
12883,-3.29,14.25,1.33,Err1
12906,-3.68,14.85,1.26,Err1
12929,-3.23,15.21,1.61,Err1
12952,-2.95,14.68,2.26,Err1
12975,-3.3,13.57,2.13,Err1
12998,-3.11,11.67,2.59,Err1
13021,-2.72,9.91,3.25,Err1
13044,-3.02,9.54,3.03,Err1
13067,-3.38,10.6,2.78,Err1
13090,-3.62,12.39,2.44,Err1
13113,-3.69,14.09,2.2,Err1
13136,-3.63,14.52,2.08,Err1
13159,-3.82,13.78,1.89,Err1
13182,-3.44,11.94,2.21,Err1
13205,-3.71,10.63,2.26,Err1
13228,-3.52,9.49,2.36,Err1
13251,-3.68,8.28,2.49,Err1
13274,-4.14,8.14,2.45,Err1
13297,-4.44,7.63,1.92,Err1
13320,-4.45,6.4,2.18,Err1
13343,-4.24,3.93,2.16,Err1
13366,-3.42,1.72,1.98,Err1
13389,-3.34,-0.15,2.97,Err1
13412,-4.39,-0.85,4.94,Err1
13435,-1.63,-5.25,3.05,Err1
13458,-3.69,-6.16,2.64,Err1
13481,-2.8,-3.94,3.41,Err1
13504,-2.44,-4.21,2.85,Err1
13527,-1.61,-6.18,2.26,Err1
13550,-1.53,-7.75,1.94,Err1
13573,-1.3,-9.91,1.07,Err1
13596,-0.37,-11.79,1.07,Err1
13619,0.56,-14.28,1.13,Err1
13642,0.98,-15.92,0.95,Err1
13665,1.17,-17.0,1.16,Err1
13688,0.37,-17.05,0.9,Err1
13711,0.52,-16.05,1.21,Err1
13734,0.34,-14.39,1.94,Err1
13757,0.17,-13.41,2.21,Err1
13780,0.67,-15.19,2.14,Err1
13803,1.65,-17.23,1.83,Err1
13826,2.39,-17.48,1.89,Err1
13849,2.56,-16.23,1.9,Err1
13872,2.61,-14.31,1.07,Err1
13895,2.0,-10.79,1.54,Err1
13918,1.18,-8.8,0.59,Err1
13941,1.07,-5.86,0.79,Err1
13964,-0.02,-2.78,0.78,Err1
13987,-1.47,1.17,1.81,Err1
14010,-3.03,1.99,1.02,Err1
14033,-2.8,3.68,1.84,Err1
14056,-2.26,4.68,1.9,Err1
14079,-3.83,6.16,1.42,Err1
14102,-3.8,5.64,1.39,Err1
14125,-2.85,7.1,1.68,Err1
14148,-3.1,9.18,0.4,Err1
14171,-3.39,11.01,0.06,Err1
14194,-3.33,12.57,1.02,Err1
14217,-2.97,16.18,0.72,Err1
14240,-3.48,17.24,1.01,Err1
14263,-3.68,17.19,0.99,Err1
14286,-3.72,14.95,1.85,Err1
14309,-2.8,12.98,2.85,Err1
14332,-2.84,11.31,2.72,Err1
14355,-3.0,9.84,3.01,Err1
14378,-2.62,9.18,3.29,Err1
14401,-2.99,10.64,3.23,Err1
14424,-3.43,12.68,2.83,Err1
14447,-3.26,14.06,2.63,Err1
14470,-3.37,15.02,2.24,Err1
14493,-3.29,14.77,2.12,Err1
14516,-2.97,13.78,2.33,Err1
14539,-2.91,11.29,2.32,Err1
14562,-2.64,9.24,2.61,Err1
14585,-2.99,8.53,2.92,Err1
14608,-3.22,7.37,2.76,Err1
