timestamp,ax,ay,az,label
70246,0.35,13.26,4.19,Err1
70269,0.64,12.27,4.5,Err1
70292,0.34,11.62,4.7,Err1
70315,-0.2,12.1,4.3,Err1
70338,-3.79,11.81,4.2,Err1
70361,-2.02,10.17,3.38,Err1
70384,-1.73,9.78,4.0,Err1
70407,-1.87,8.86,3.99,Err1
70430,-2.32,7.92,3.94,Err1
70453,-2.81,6.91,4.0,Err1
70476,-3.08,6.11,4.08,Err1
70499,-3.08,5.01,4.33,Err1
70522,-3.34,4.11,4.64,Err1
70545,-3.14,3.44,4.73,Err1
70568,-2.79,2.87,4.37,Err1
70591,-4.49,1.45,2.43,Err1
70614,-3.45,0.74,3.45,Err1
70637,-1.96,0.48,4.31,Err1
70660,-2.69,-0.49,1.31,Err1
70683,-2.86,-1.55,0.65,Err1
70706,-0.55,-1.57,0.72,Err1
70729,-0.18,-2.74,-1.73,Err1
70752,-0.25,-7.04,-1.58,Err1
70775,1.57,-11.15,-4.17,Err1
70798,3.42,-18.39,-5.39,Err1
70821,3.67,-19.61,-9.0,Err1
70844,0.06,-19.61,-8.54,Err1
70867,1.32,-19.61,-4.66,Err1
70890,0.09,-16.51,-1.87,Err1
70913,-0.46,-9.04,1.72,Err1
70936,-0.43,-6.81,2.83,Err1
70959,1.0,-12.76,2.27,Err1
70982,1.75,-19.61,-1.46,Err1
71005,1.59,-19.61,-5.15,Err1
71028,3.22,-18.25,-2.99,Err1
71051,3.05,-11.68,-1.62,Err1
71074,1.63,-6.53,-0.68,Err1
71097,0.85,-3.26,0.23,Err1
71120,-0.36,-2.06,0.59,Err1
71143,-2.35,-0.03,0.45,Err1
71166,-2.72,-0.54,2.17,Err1
71189,-3.32,1.25,1.4,Err1
71212,-3.07,1.56,1.24,Err1
71235,-3.04,3.23,2.12,Err1
71258,-3.58,4.97,2.2,Err1
71281,-1.92,6.86,4.41,Err1
71304,-2.09,8.43,3.01,Err1
71327,-2.25,10.03,3.52,Err1
71350,-0.15,11.3,3.2,Err1
71373,-2.5,10.51,3.55,Err1
71396,-1.6,9.82,3.55,Err1
71419,-1.43,10.44,3.29,Err1
71442,-0.23,12.4,4.21,Err1
71465,-0.02,12.73,3.95,Err1
71488,-0.56,13.85,3.31,Err1
71511,0.49,15.08,3.83,Err1
71534,0.19,15.34,3.64,Err1
71557,0.24,14.04,3.78,Err1
71580,-0.66,12.35,3.37,Err1
71603,-1.19,11.73,3.06,Err1
71626,-0.54,11.85,3.56,Err1
71649,1.12,12.74,4.58,Err1
71672,2.02,14.08,6.11,Err1
71695,1.71,15.28,5.24,Err1
71718,1.05,14.94,4.38,Err1
71741,0.54,13.76,4.13,Err1
71764,-0.15,11.33,3.51,Err1
71787,-0.53,9.14,3.48,Err1
71810,-1.15,7.44,3.87,Err1
71833,-1.63,6.12,4.29,Err1
71856,-2.26,5.38,4.53,Err1
71879,-2.88,4.48,4.28,Err1
71902,-3.53,4.18,4.63,Err1
71925,-3.85,3.68,4.6,Err1
71948,-4.01,3.22,4.05,Err1
71971,-4.54,3.43,3.23,Err1
71994,-3.78,3.45,3.8,Err1
72017,-3.32,3.24,3.86,Err1
72040,-1.85,2.92,4.04,Err1
72063,-0.21,1.92,2.7,Err1
72086,0.9,0.08,0.3,Err1
72109,1.72,-2.89,-2.4,Err1
72132,1.86,-6.28,-4.23,Err1
72155,1.08,-19.61,-7.63,Err1
72178,5.66,-18.85,-4.31,Err1
72201,4.85,-19.61,-7.31,Err1
72224,-0.11,-19.61,-10.77,Err1
72247,2.68,-19.61,-4.71,Err1
72270,1.53,-15.36,-1.24,Err1
72293,-0.16,-8.23,2.02,Err1
72316,-0.87,-5.95,3.09,Err1
72339,0.57,-10.44,2.83,Err1
72362,0.7,-16.41,0.78,Err1
72385,-0.08,-19.61,-1.74,Err1
72408,1.91,-19.61,-1.62,Err1
72431,2.2,-15.69,-1.31,Err1
72454,1.53,-10.35,-0.77,Err1
72477,1.7,-6.33,0.72,Err1
72500,0.58,-3.42,1.05,Err1
72523,-2.37,-1.65,-0.08,Err1
72546,-2.04,-0.56,1.94,Err1
72569,-1.93,-0.82,2.32,Err1
72592,-3.56,2.28,1.14,Err1
72615,-3.42,3.34,1.69,Err1
72638,-4.73,4.88,0.68,Err1
72661,0.55,5.49,5.87,Err1
72684,-1.23,8.85,4.2,Err1
72707,-1.64,11.19,3.79,Err1
72730,-2.9,13.01,3.61,Err1
72753,-3.1,13.48,3.86,Err1
72776,-2.29,12.83,4.19,Err1
72799,-2.28,11.3,5.12,Err1
72822,-1.93,10.6,4.83,Err1
72845,-1.49,9.42,5.19,Err1
72868,-1.47,9.53,4.47,Err1
72891,-1.85,10.82,4.31,Err1
72914,-1.47,11.27,4.09,Err1
72937,-1.4,11.44,4.13,Err1
72960,-1.04,11.39,4.32,Err1
72983,-1.11,11.34,4.15,Err1
73006,-0.56,11.71,4.59,Err1
73029,-0.26,11.74,4.63,Err1
73052,0.05,12.63,5.17,Err1
73075,0.22,14.43,5.13,Err1
73098,-0.21,14.95,4.38,Err1
73121,-0.17,15.29,4.63,Err1
73144,-0.16,14.88,4.38,Err1
73167,-0.06,13.57,3.87,Err1
73190,-0.16,11.33,4.2,Err1
73213,0.09,9.22,4.15,Err1
73236,-0.07,7.12,4.5,Err1
73259,0.2,5.43,5.59,Err1
73282,0.4,2.72,6.36,Err1
73305,-2.0,2.96,5.02,Err1
73328,-3.34,2.54,3.29,Err1
73351,-4.05,4.88,2.86,Err1
73374,-2.63,5.3,3.43,Err1
73397,-1.84,4.31,3.41,Err1
73420,-0.93,1.57,1.86,Err1
73443,0.49,0.57,0.03,Err1
73466,1.28,-0.19,-1.82,Err1
73489,0.82,-3.12,-4.4,Err1
73512,-0.1,-15.46,-8.6,Err1
73535,7.37,-17.82,-4.29,Err1
73558,5.63,-19.61,-6.64,Err1
73581,3.56,-19.61,-8.87,Err1
73604,1.81,-19.61,-8.07,Err1
73627,0.63,-19.61,-3.28,Err1
73650,1.02,-13.04,0.14,Err1
73673,0.69,-9.35,1.96,Err1
73696,0.47,-10.65,1.79,Err1
73719,0.61,-14.21,0.97,Err1
73742,0.46,-16.86,-0.6,Err1
73765,0.64,-15.33,-0.66,Err1
73788,0.02,-12.64,-0.49,Err1
73811,-0.05,-9.27,-0.65,Err1
73834,-0.01,-6.27,0.55,Err1
73857,-0.78,-3.84,0.88,Err1
73880,-1.21,-1.53,1.73,Err1
73903,-2.73,-0.76,2.28,Err1
73926,-2.98,0.13,2.06,Err1
73949,-3.53,1.28,1.46,Err1
73972,-1.81,0.97,2.78,Err1
73995,-2.96,3.24,1.95,Err1
74018,-0.68,3.66,3.38,Err1
74041,1.48,8.18,4.54,Err1
74064,0.82,11.37,3.73,Err1
74087,-0.59,13.07,2.47,Err1
74110,-1.68,14.39,2.68,Err1
74133,-1.33,14.35,3.35,Err1
74156,-0.73,13.5,3.85,Err1
74179,-0.49,12.51,4.39,Err1
74202,0.45,12.98,4.65,Err1
74225,-0.47,13.96,3.87,Err1
74248,-0.49,14.74,3.8,Err1
74271,-0.55,13.96,3.88,Err1
74294,-0.64,13.05,4.1,Err1
74317,-0.25,12.62,4.26,Err1
74340,0.12,12.69,4.75,Err1
74363,0.12,12.88,4.62,Err1
74386,0.15,13.77,4.78,Err1
74409,0.48,14.33,4.9,Err1
74432,0.3,14.33,4.58,Err1
74455,-0.2,13.39,4.05,Err1
74478,-0.08,11.74,3.88,Err1
74501,-0.27,9.56,4.08,Err1
74524,-0.36,7.52,4.21,Err1
74547,-1.11,6.15,4.41,Err1
74570,-1.68,5.01,4.3,Err1
74593,-1.92,4.2,4.48,Err1
74616,-2.51,3.86,4.53,Err1
74639,-3.4,3.77,3.23,Err1
74662,-3.67,2.83,1.86,Err1
74685,-2.46,3.34,2.79,Err1
74708,-0.26,3.47,3.77,Err1
74731,0.23,1.74,0.97,Err1
74754,2.32,-0.68,-1.03,Err1
74777,2.99,-4.01,-3.45,Err1
74800,0.05,-9.49,-5.52,Err1
74823,3.35,-13.9,-3.95,Err1
74846,5.68,-19.61,-7.99,Err1
74869,2.97,-19.61,-10.92,Err1
74892,2.25,-19.61,-8.45,Err1
74915,0.22,-19.61,-4.32,Err1
74938,1.14,-13.77,-0.59,Err1
74961,-0.42,-8.09,1.66,Err1
74984,-1.22,-5.39,6.72,Err1
75007,1.19,-12.0,1.69,Err1
75030,1.19,-17.99,0.17,Err1
75053,-0.55,-19.61,-2.5,Err1
75076,1.1,-17.83,-1.83,Err1
75099,1.37,-11.87,-1.04,Err1
75122,0.46,-6.66,-0.22,Err1
75145,0.18,-4.72,1.06,Err1
75168,-2.06,-3.0,-0.26,Err1
75191,-1.29,-1.71,2.52,Err1
75214,-1.76,-1.55,2.89,Err1
75237,-2.68,-0.33,2.37,Err1
75260,-1.58,0.72,2.58,Err1
75283,-1.02,1.11,2.88,Err1
75306,-2.49,4.44,2.26,Err1
75329,2.7,5.12,5.02,Err1
75352,1.75,10.32,3.69,Err1
75375,-0.55,11.86,3.09,Err1
75398,-0.35,12.3,3.25,Err1
75421,-0.38,12.05,3.76,Err1
75444,-0.43,11.67,3.37,Err1
75467,0.12,12.38,3.61,Err1
75490,0.39,13.12,3.78,Err1
75513,0.93,14.24,3.83,Err1
75536,0.85,15.26,3.62,Err1
75559,1.12,15.49,4.14,Err1
75582,1.89,14.75,4.51,Err1
75605,1.11,13.97,4.32,Err1
75628,1.04,13.04,4.26,Err1
75651,0.73,11.76,4.21,Err1
75674,1.11,10.98,4.84,Err1
75697,0.91,10.15,4.93,Err1
75720,0.63,10.39,4.97,Err1
75743,0.32,11.19,4.88,Err1
75766,0.14,12.28,4.92,Err1
75789,-0.37,12.73,4.47,Err1
75812,-0.85,12.13,4.02,Err1
75835,-0.97,10.75,4.15,Err1
75858,-1.06,8.95,4.57,Err1
75881,-1.27,7.23,4.64,Err1
75904,-1.7,6.11,5.2,Err1
75927,-2.4,5.27,5.34,Err1
75950,-2.6,4.6,5.46,Err1
75973,-3.32,4.04,5.7,Err1
75996,-3.59,3.52,5.84,Err1
76019,-3.97,3.29,5.57,Err1
76042,-4.77,3.38,4.97,Err1
76065,-4.28,2.82,4.71,Err1
76088,-4.01,2.81,4.59,Err1
76111,-3.11,2.38,5.18,Err1
76134,-2.01,2.19,5.11,Err1
76157,-1.66,1.48,2.69,Err1
76180,-0.49,0.53,1.23,Err1
76203,0.8,-0.75,0.23,Err1
76226,2.57,-1.26,-3.48,Err1
76249,3.96,-10.51,-4.52,Err1
76272,3.53,-15.79,-6.61,Err1
76295,-1.87,-19.61,-9.97,Err1
76318,4.49,-19.61,-7.83,Err1
76341,2.52,-19.61,-8.4,Err1
76364,0.53,-19.19,-3.34,Err1
76387,-0.13,-10.19,0.28,Err1
76410,-1.55,-6.17,2.8,Err1
76433,0.4,-9.27,2.94,Err1
76456,2.15,-16.67,1.07,Err1
76479,1.61,-19.61,-3.47,Err1
76502,1.53,-19.61,-3.94,Err1
76525,2.57,-14.94,-2.55,Err1
76548,-1.48,-9.39,-1.65,Err1
76571,0.53,-4.99,1.06,Err1
76594,1.67,-2.55,1.35,Err1
76617,-2.41,-0.99,0.4,Err1
76640,-1.56,-0.01,3.03,Err1
76663,-0.99,-2.04,2.6,Err1
76686,-4.6,2.49,0.86,Err1
76709,-1.96,3.46,2.77,Err1
76732,-1.65,3.67,3.21,Err1
76755,-3.37,4.88,2.03,Err1
76778,0.28,6.05,4.32,Err1
76801,-0.02,8.67,3.38,Err1
76824,-0.59,10.48,2.02,Err1
76847,-1.99,12.57,2.81,Err1
76870,-1.04,13.98,2.56,Err1
76893,-1.3,14.0,3.42,Err1
76916,-0.47,14.47,4.03,Err1
76939,0.32,14.8,4.5,Err1
76962,0.28,14.33,4.8,Err1
76985,0.08,13.28,4.59,Err1
