timestamp,ax,ay,az,label
27221,-5.84,-1.89,7.76,Err2
27244,-7.11,-1.72,6.12,Err2
27267,-6.85,-1.99,6.3,Err2
27290,-6.41,-2.33,6.62,Err2
27313,-8.79,-3.34,3.68,Err2
27336,-8.04,-3.42,4.59,Err2
27359,-7.52,-2.76,5.18,Err2
27382,-7.02,-2.34,5.54,Err2
27405,-8.15,-2.88,4.29,Err2
27428,-8.87,-3.04,3.55,Err2
27451,-8.18,-2.8,3.6,Err2
27474,-8.14,-2.36,4.5,Err2
27497,-8.4,-2.58,3.69,Err2
27520,-8.33,-2.73,4.01,Err2
27543,-10.11,-2.65,2.01,Err2
27566,-8.2,-2.34,4.21,Err2
27589,-10.07,-1.44,3.02,Err2
27612,-9.79,-2.41,2.12,Err2
27635,-9.7,-1.61,1.99,Err2
27658,-9.42,-1.31,2.03,Err2
27681,-10.16,-1.03,1.38,Err2
27704,-8.71,-0.81,3.37,Err2
27727,-9.83,-1.06,2.05,Err2
27750,-9.69,-1.44,2.21,Err2
27773,-10.29,-1.8,1.02,Err2
27796,-10.65,-1.83,0.45,Err2
27819,-9.43,-1.48,3.14,Err2
27842,-7.52,-1.57,5.28,Err2
27865,-9.72,-1.61,2.96,Err2
27888,-8.38,-1.3,4.12,Err2
27911,-6.57,-1.88,6.0,Err2
27934,-7.33,-2.3,5.42,Err2
27957,-8.21,-2.25,4.67,Err2
27980,-6.42,-2.44,6.21,Err2
28003,-7.31,-2.84,5.64,Err2
28026,-7.5,-2.98,5.58,Err2
28049,-6.7,-3.02,6.31,Err2
28072,-6.72,-2.92,6.5,Err2
28095,-6.17,-3.0,6.93,Err2
28118,-6.22,-3.02,6.83,Err2
28141,-6.24,-3.19,6.88,Err2
28164,-5.93,-3.29,7.27,Err2
28187,-6.17,-3.08,6.97,Err2
28210,-6.35,-2.99,6.93,Err2
28233,-6.0,-2.8,7.31,Err2
28256,-5.74,-2.67,7.68,Err2
28279,-6.35,-2.51,6.83,Err2
28302,-7.14,-2.58,5.96,Err2
28325,-6.71,-2.9,6.4,Err2
28348,-5.59,-2.89,7.38,Err2
28371,-7.19,-3.06,5.6,Err2
28394,-7.34,-3.16,5.07,Err2
28417,-6.91,-3.43,5.49,Err2
28440,-8.11,-2.96,4.31,Err2
28463,-7.93,-2.86,3.89,Err2
28486,-8.96,-2.92,2.98,Err2
28509,-8.71,-2.72,2.8,Err2
28532,-9.68,-2.59,2.26,Err2
28555,-9.2,-2.12,2.67,Err2
28578,-9.26,-2.57,2.6,Err2
28601,-9.55,-2.54,2.16,Err2
28624,-9.14,-2.41,2.94,Err2
28647,-9.37,-2.15,2.5,Err2
28670,-10.0,-2.02,1.58,Err2
28693,-9.61,-1.58,2.19,Err2
28716,-10.18,-1.19,1.52,Err2
28739,-10.56,-1.61,1.24,Err2
28762,-11.09,-0.89,0.98,Err2
28785,-8.94,-0.66,4.03,Err2
28808,-8.09,-0.46,4.62,Err2
28831,-8.74,-0.77,4.17,Err2
28854,-8.29,-1.11,4.42,Err2
28877,-7.45,-1.49,5.22,Err2
28900,-8.42,-2.1,5.12,Err2
28923,-8.09,-2.46,4.65,Err2
