timestamp,ax,ay,az,label
285296,-0.54,-3.46,9.56,Correct
285319,-1.15,-2.43,9.88,Correct
285342,-1.76,-2.98,9.3,Correct
285365,-1.07,-2.0,9.91,Correct
285388,-1.31,-1.34,10.13,Correct
285411,-0.45,-1.6,11.07,Correct
285434,-1.37,-1.32,10.26,Correct
285457,-0.11,-0.38,11.75,Correct
285480,-0.66,-0.0,11.49,Correct
285503,-0.15,-0.68,10.8,Correct
285526,0.75,-0.23,12.26,Correct
285549,0.58,1.17,13.07,Correct
285572,-0.82,1.1,12.19,Correct
285595,0.55,0.29,15.64,Correct
285618,5.22,1.47,16.31,Correct
285641,6.12,9.37,2.22,Correct
285664,-9.73,15.53,-7.22,Correct
285687,-2.22,-10.09,7.26,Correct
285710,-13.93,-7.42,-4.84,Correct
285733,-3.32,-10.08,6.57,Correct
285756,-7.81,-5.27,-1.15,Correct
285779,-10.04,-10.62,2.94,Correct
285802,-12.31,-6.84,-0.06,Correct
285825,-8.59,-3.97,2.71,Correct
285848,-8.73,-4.35,1.12,Correct
285871,-8.68,-0.81,1.78,Correct
285894,-11.16,-0.07,1.15,Correct
285917,-9.8,3.24,2.01,Correct
285940,-9.47,-0.23,1.89,Correct
285963,-10.74,-1.74,1.19,Correct
285986,-8.74,-2.42,1.95,Correct
286009,-9.78,-3.17,0.87,Correct
286032,-9.4,-4.01,0.6,Correct
286055,-8.65,-4.52,0.7,Correct
286078,-10.09,-3.79,-0.93,Correct
286101,-8.23,-3.43,1.89,Correct
286124,-9.35,-3.12,0.17,Correct
286147,-9.48,-3.08,0.49,Correct
286170,-9.63,-2.01,-1.49,Correct
286193,-8.72,-1.41,2.19,Correct
286216,-10.94,-1.49,0.32,Correct
286239,-11.2,-1.47,-1.71,Correct
286262,-14.35,-1.48,-6.88,Correct
286285,-13.8,-0.81,-6.3,Correct
286308,-8.77,-2.39,0.87,Correct
286331,-3.91,-6.64,7.85,Correct
286354,-17.5,-0.32,-6.76,Correct
286377,-9.11,0.56,0.02,Correct
286400,-4.34,1.06,-1.1,Correct
286423,2.35,-4.65,-1.65,Correct
286446,7.19,-7.2,-4.63,Correct
286469,17.44,-5.9,13.87,Correct
286492,12.99,0.15,19.61,Correct
286515,-0.49,6.94,4.14,Correct
286538,-0.13,-6.49,15.07,Correct
286561,-3.63,-3.6,10.73,Correct
286584,-0.85,-0.03,10.31,Correct
286607,-2.07,-0.13,10.69,Correct
286630,-1.41,-2.82,10.16,Correct
286653,-1.89,-4.75,8.47,Correct
286676,-0.86,-3.48,9.96,Correct
286699,-0.95,-2.92,10.06,Correct
286722,-0.7,-2.72,10.1,Correct
286745,-1.12,-2.28,9.98,Correct
286768,-1.16,-0.68,10.37,Correct
286791,-0.65,-0.57,10.73,Correct
286814,-0.88,-1.36,11.08,Correct
286837,-0.87,-1.0,10.59,Correct
286860,-0.65,-1.44,11.51,Correct
286883,-1.12,-1.06,10.96,Correct
286906,-1.52,0.49,10.22,Correct
286929,-2.37,2.02,9.78,Correct
286952,-3.69,1.58,8.72,Correct
286975,-3.69,0.69,8.45,Correct
286998,-3.04,0.01,9.93,Correct
287021,-1.92,-1.36,10.95,Correct
287044,-1.66,-2.28,11.52,Correct
287067,-0.27,-1.69,15.96,Correct
287090,9.56,-1.52,19.61,Correct
287113,19.61,-1.35,5.95,Correct
287136,-10.09,4.68,-19.61,Correct
287159,-19.61,-11.66,10.43,Correct
287182,3.71,10.88,-7.79,Correct
287205,-19.61,-19.61,-2.82,Correct
287228,-9.96,-4.61,-0.38,Correct
287251,-11.48,-5.64,2.09,Correct
287274,-8.19,-6.2,0.98,Correct
287297,-8.49,-8.25,0.44,Correct
287320,-9.09,-5.19,-0.06,Correct
287343,-9.05,-3.63,0.54,Correct
287366,-10.83,-1.33,1.49,Correct
287389,-9.58,-0.11,0.82,Correct
287412,-10.74,-0.42,1.14,Correct
287435,-9.13,-0.18,1.48,Correct
287458,-11.82,-0.77,-1.31,Correct
287481,-9.28,-0.69,1.66,Correct
287504,-9.7,-1.15,0.39,Correct
